,U,D,L,R
"(1, 3, 4)",19.491738726644925,-0.6878664103726506,14.407797830585071,2.5216460396856215
"(1, 3, 5)",1.3754585591761388,4.286154790268593,12.416861995373784,1.7667430216077151
"(1, 4, 1)",-0.26129709270969215,-0.23405009765624998,-1.4823989868164062,5.948566017042419
"(1, 4, 2)",25.0176780288492,-0.5549891572729111,-3.5132852554321286,-0.4706766927642402
"(1, 4, 3)",47.716414604311424,8.754409917931492,20.600712920955,0.7421341527380365
"(1, 4, 4)",8.350363423699925,-1.1785654769429912,63.970508007217816,23.14122580824413
"(1, 4, 5)",10.701510474526572,-4.404432216578426,67.04224084347916,16.511437474761145
"(1, 5, 1)",-2.2353515625,-0.457336198931694,-0.475485794383049,-0.74203694011631
"(1, 5, 2)",-0.6005678183164724,-0.6396157303121567,-0.6983547487340926,4.600435861847824
"(1, 5, 3)",30.55501799482356,-0.613095302964331,-0.7693361509077575,-0.6607905948963684
"(1, 5, 4)",14.283956654544403,-1.0770463338519012,-0.9617682699727967,-3.0
"(1, 5, 5)",10.669155134007825,-3.0,-0.2606985649685568,-2.9999962348222415
"(2, 1, 1)",-0.7019034161012649,2.1388077695798597,-0.7055289377523422,-0.7946524716013367
"(2, 1, 2)",-0.862029481238336,37.022314186030705,-0.6684265732681725,-0.6436933026074689
"(2, 1, 3)",-0.6065804150322813,-0.6083661596547163,-0.6573107342659346,-0.5949732419595182
"(2, 1, 4)",-0.5094490604588408,-0.6172198641653732,-0.5352264991767952,-2.9067626953125
"(2, 1, 5)",-1.9330329895019531,-0.29429216537475583,-0.30176947860717773,-2.255767822265625
"(2, 2, 1)",-0.09423919964903277,7.624652645959664,-0.021241107721822194,20.4417395732079
"(2, 2, 2)",11.251650569763214,56.728325446792084,9.014131139115324,-0.8210188758632657
"(2, 2, 3)",-0.6212911703404387,-0.5782487140774515,22.962492884460367,-0.6182882227632522
"(2, 2, 4)",-0.509580535216484,-0.4025922246062279,-0.6139070804855918,-0.4255111924080557
"(2, 2, 5)",-2.71875,-0.4459077251912499,-0.37227195466159,-0.22494068517378218
"(2, 3, 1)",3.892242764007581,64.1350070014089,18.000890014433892,15.480329343539216
"(2, 3, 2)",23.18306363150231,9.243426233578091,57.25407147865509,1.7490521100137404
"(2, 3, 3)",9.65241224804239,-0.36463881032786294,-0.13971734417139178,-0.36141468389110565
"(2, 3, 4)",-0.34642359701607284,-0.40068813151016236,-0.36574180532003536,-0.3460018042711258
"(2, 3, 5)",-0.3432343055274719,-0.44507858992422633,-0.4204555736818314,-0.2624153146562576
